date,site,aspect,elev,meanT,varT,minT,maxT
2022-09-05,jp,N,east,10.918333333333333,14.157275696969698,6.573,16.523
2022-09-05,jp,N,west,14.467,39.667362181818184,7.782,25.028
2022-09-05,jp,S,east,16.550666666666668,59.68746806060605,8.68,29.752
2022-09-05,jp,S,west,16.154666666666667,41.835243696969705,8.68,25.902
2022-09-05,jp,T,east,14.834666666666667,43.36147896969697,7.983,25.708
2022-09-05,jp,T,west,16.215833333333332,47.886588696969696,8.68,26.488
2022-09-05,nr,N,upper,15.558,34.43194036363637,9.965,25.805
2022-09-05,nr,S,east,17.508958333333332,29.443566737318847,11.236,29.152
2022-09-05,nr,T,upper,15.684,26.838133272727273,10.748,25.222
2022-09-06,gp,N,lower,11.724499999999999,35.86179318181817,5.244,21.282
2022-09-06,gp,N,upper,10.15175,31.00430275,3.998,18.331
2022-09-06,gp,S,lower,12.853916666666667,39.19165226515152,6.064,22.429
2022-09-06,gp,S,upper,14.380583333333334,51.55734590151515,5.86,24.835
2022-09-06,gp,T,lower,13.5135,68.45101227272727,5.141,26.879
2022-09-06,gp,T,upper,10.974333333333334,36.90537797101449,4.311,20.805
2022-09-06,jp,N,east,10.940083333333334,12.479709174242425,6.674,17.189
2022-09-06,jp,N,west,14.040000000000001,36.53914181818182,7.882,23.484
2022-09-06,jp,S,east,16.701166666666666,67.14332996969696,7.882,29.953
2022-09-06,jp,S,west,16.42716666666667,45.621738515151506,8.481,26.977
2022-09-06,jp,T,east,14.946916666666667,40.10759717424242,8.082,25.125
2022-09-06,jp,T,west,16.166249999999998,49.62140002272727,8.382,26.39
2022-09-06,nr,N,upper,15.414916666666667,60.55790462878788,6.877,27.764
2022-09-06,nr,S,east,18.928041666666665,55.50712951992756,10.161,31.983
2022-09-06,nr,T,upper,15.7485,46.014914636363635,8.481,26.39
2022-09-07,gp,N,lower,11.035916666666667,25.44661517424242,5.037,20.424
2022-09-07,gp,N,upper,9.747166666666667,20.609187060606065,4.311,17.665
2022-09-07,gp,S,lower,12.111,24.626660727272725,6.471,21.473
2022-09-07,gp,S,upper,13.090916666666667,18.07259699242424,7.983,21.664
2022-09-07,gp,T,lower,12.369416666666666,47.632187537878785,5.141,27.961
2022-09-07,gp,T,upper,10.305416666666666,20.49198181884058,4.831,17.284
2022-09-07,jp,N,east,11.169333333333334,17.214227696969694,5.655,17.475
2022-09-07,jp,N,west,14.76075,54.30901529545454,5.86,24.255
2022-09-07,jp,S,east,16.663416666666667,80.89582662878787,6.166,33.43
2022-09-07,jp,S,west,17.081333333333333,55.4478075151515,7.882,27.665
2022-09-07,jp,T,east,14.56675,41.23129820454546,6.674,25.513
2022-09-07,jp,T,west,16.242916666666666,57.426712446969695,6.877,27.567
2022-09-07,nr,N,upper,14.975083333333334,46.757744265151516,6.978,25.805
2022-09-07,nr,S,east,18.206458333333334,33.563637737318835,11.139,28.754
2022-09-07,nr,T,upper,15.189416666666666,38.002947537878796,8.182,25.513
2022-09-08,gp,N,lower,11.096416666666666,28.809328265151517,4.623,19.282
2022-09-08,gp,N,upper,10.313083333333333,23.969417537878783,4.727,17.76
2022-09-08,gp,S,lower,12.127,31.266641454545457,5.552,21.855
