plantID,pop,site,elv_pt,est_25,nrt_25,tpi_25,tri_25,plcv_25,prcv_25
2617,TopLower,niwot,-0.7233955264091492,0.26933451732179275,0.26566315931150614,8.08460755587309e-4,0.02903032157799859,0.16639666463419817,0.1447050614922081
2621,TopLower,niwot,-0.7717030048370361,0.18807005396145843,0.17534834490114307,-0.03295169809332116,0.04776191632687169,-0.02762443272111534,-0.45661249673906384
2620,TopLower,niwot,-0.773619532585144,0.2179416249265144,0.17165108634873172,-0.02959305214415254,0.04360900719160141,-0.05394032770215544,-0.32770543873699465
2623,TopLower,niwot,-0.7810031175613403,0.19646420856531072,0.18946690112204856,0.00386742493553991,0.02710547839412908,0.1925728623474776,-0.13414818931270264
2625,TopLower,niwot,-0.7611315250396729,0.2147597290669856,0.2428558818936468,-0.00628960497544961,0.03402953669062896,-0.5222203303426061,-0.12482988765940986
2624,TopLower,niwot,-0.787361204624176,0.21392681567609137,0.21043609663080545,0.00166316947821393,0.02535525972381449,0.02427084525366477,-0.0935422528868952
2632,TopLower,niwot,-0.7595032453536987,0.10524110635393724,0.1723022711696066,-0.00331464305024237,0.02207452102419693,0.6567484153506961,0.332764453242033
2631,TopLower,niwot,-0.7525460720062256,0.2000332950093645,0.16333908223837246,0.01469233179061015,0.0302017005393584,0.3318377249070394,0.1446274795962659
2633,TopLower,niwot,-0.7939482927322388,0.14069130751482573,0.15931959471324494,-0.01561923160208034,0.02729191755877448,0.693811001111526,0.3848990331288024
2634,TopLower,niwot,-0.7837682366371155,0.19492597856750557,0.09438282414142324,0.01422608262870799,0.03008107004295994,0.1351189774050667,0.48399062637847545
2635,TopLower,niwot,-0.7923265099525452,0.09695573407699662,0.06808909643546336,3.2251962377615736e-5,0.02329408912637593,0.2828037604096384,0.15297835467265994
2636,TopLower,niwot,-0.7985285520553589,0.05920391904475194,0.06631081172604998,-0.01044978550332968,0.02207672870587957,0.2203573701996275,-0.16635425619408883
2639,TopLower,niwot,-0.8036807775497437,0.15193274911533175,0.02979177107190705,-6.22892076436562e-4,0.01897206131124356,-0.9416182198891156,0.12060638395074172
2640,TopLower,niwot,-0.8092052340507507,0.16554502311210678,0.033930093809797,-0.00411853543408779,0.02056005115128344,-0.9403299825792856,0.07721722042113655
2642,TopLower,niwot,-0.8124942779541016,0.12080827547777676,-6.0805867961973614e-5,-0.01524958266279731,0.02472395962191532,-0.495578193641151,-0.1325288478127958
2641,TopLower,niwot,-0.812240481376648,0.15726748902626622,0.0078140153345646,-0.01330017360591616,0.02395819167631939,-0.5558238135782958,-0.1867292775665138
2643,TopLower,niwot,-0.8018229603767395,0.20911674210744335,-0.02711265681479357,0.0023553368628371,0.01842313271950757,0.12323921737905358,-0.10469773238448248
2644,TopLower,niwot,-0.8138763904571533,0.1569786312887529,-0.00872273013928075,-0.01653696352829363,0.02447288955924559,-0.09284809901231925,-0.03572778286656014
2646,TopLower,niwot,-0.7774057984352112,0.04461324756094687,-0.10332342573496356,-0.00439292283734763,0.01781782209702681,-0.03659092007848068,-0.0606548061312279
2647,TopLower,niwot,-0.7624231576919556,0.0020070517875857,0.05110573759153194,0.01294912714582103,0.02380833310543818,0.5425902291350778,0.49436018019245975
2468,TopLower,niwot,-0.7950818538665771,0.00590354102150672,0.14810478597365712,-0.01272736109732979,0.02574966217050486,0.4683133440381963,0.4493215995722568
2649,TopLower,niwot,-0.844101071357727,-0.07991303490961876,0.29159848453815873,-0.00461647196671982,0.03353713921693954,0.2632747837624563,-0.20325801272869187
2650,TopLower,niwot,-0.857347309589386,0.04497816201876458,0.2038973220279836,-0.0116610608690485,0.02825541967483005,-0.5015460433222225,-0.32411576361798927
2653,TopLower,niwot,-0.8822032809257507,0.0138093460693324,0.11410121508992312,-0.01431788460854746,0.02006077722954492,-0.02644588146291147,-0.01768989930996211
2651,TopLower,niwot,-0.8658493757247925,0.04265129259289944,0.10827121068417991,-0.0062522701821011,0.01825692442490134,-0.16369235625423045,-0.35986004024351426
2652,TopLower,niwot,-0.8429955244064331,0.10224995738946537,0.16824621441877866,0.00919304757265926,0.01992897664970292,-0.29525019470805713,-0.16424682865438814
2654,TopLower,niwot,-0.8489964008331299,0.17464717575805697,0.12508762586532027,0.00253407870789416,0.01836028927489809,0.04888953397990688,-0.10960659234144038
2655,TopLower,niwot,-0.8824285864830017,0.03179114667481499,0.16795821414152956,-0.00820757676379423,0.01804266430300118,0.10722720526950924,0.2964801383898636
2657,TopLower,niwot,-0.8803430199623108,0.00793622687319599,0.18478045885887184,-0.00250229460977828,0.01652483718538384,-0.03719117384165289,0.1734317491739406
2658,TopLower,niwot,-0.8647830486297607,0.09368245006314796,0.15982047087062393,0.00292913296479642,0.01843756304193372,-0.01500647296664146,-0.08653322281641777
2659,TopLower,niwot,-0.879563570022583,0.1085455534936821,0.16860104764511827,-0.00522435069452571,0.01898046726553574,-0.3570575756332864,-0.23495580878821176
2661,TopLower,niwot,-0.8892399072647095,0.16909481350646782,0.0511370470939691,-0.00216221792133477,0.01398113468007258,-0.07114015439627527,-0.07917527880653474
2660,TopLower,niwot,-0.8701649904251099,0.1611618468556798,0.08978443191217458,7.816572958247901e-4,0.02113162792313236,0.01328081296699027,-0.4181800656792997
2662,TopLower,niwot,-0.8833601474761963,0.2032723111611948,0.07800894897439246,0.00713009912880146,0.01482042525826035,0.04296991379780034,-0.1216004809034819
2663,TopLower,niwot,-0.8916640281677246,0.2761062275194121,0.00690487833175174,-0.02220333944886623,0.03255747412213612,-0.2800936025054737,-0.4873232854976371
2665,TopLower,niwot,-0.8848546743392944,0.24943654123971495,0.0657601381197722,-0.01603005876377383,0.02942111003816694,-0.05990419327454367,-0.618705410534284
2667,TopLower,niwot,-0.8085922598838806,0.13265088452455046,0.05735795176172824,0.00853744578797297,0.02204970589941256,0.2722968638075346,0.3088361839361919
2668,TopLower,niwot,-0.9159436225891112,0.22752420695358275,0.27770922982751783,-0.01084088714412411,0.03659927150282797,-0.2360209352934055,-0.8518345675882544
2669,TopLower,niwot,-0.9139395952224731,0.300045223585628,0.2475517818088722,-0.01382049491051637,0.04245116544304159,-0.0346363684744978,-0.8905077858956068
2670,TopLower,niwot,-0.9248054027557372,0.27883670594523635,0.2287610233326756,-0.02488960013904348,0.04897768861848431,-0.01495842494688537,-0.913205657815626
2671,TopLower,niwot,-0.8368191123008728,0.2076744096715052,0.2083857388732919,-0.01154184656647118,0.0314936224211275,-0.21139396529052065,0.6005744074771768
2673,TopLower,niwot,-0.8548575043678284,0.3519511774845967,0.1904928981070833,0.00116541184079584,0.03885359445482679,-1.1422493676889882,-0.39870578022749326
2893,TopLower,niwot,-0.8921266794204712,0.2806218189425584,0.1278767940940982,0.00203586509065519,0.02549377813066285,0.01165030478791202,-0.26868601715959417
2674,TopLower,niwot,-0.8996886610984802,0.32252405238248194,0.13179989605410822,0.0063058532427409,0.02954283960929661,-0.1513829376370664,-0.321122122846368
2677,TopLower,niwot,-0.8963859677314758,0.3094904791976765,0.2988231362048664,0.01025373853306076,0.03648638961172104,0.25304899951401105,0.15700274244616744
