plantID,pop,site,elv_pt,slp_30,est_30,nrt_30,tpi_30,tri_30,plcv_30,prcv_30,ms_slp_50,ms_est_50,ms_nrt_50,ms_plcv_50,ms_prcv_50,ms_tpi_10,ms_tpi_50,ms_tpi_500
97,LowerNorth,Guanella,-0.18999716639518735,18.713386353763244,0.28514902128809194,0.4744850037293325,-0.0054857662226363,0.03993720594710594,0.07520912442673523,0.08023031245779053,8.760952743652878,0.5104042866329744,0.8213863339941514,3.3958702494053534e-4,0.00130777526019441,0.3767484374993728,0.8584324511093655,38.124020131077486
114,LowerNorth,Guanella,-1.0186936855316162,18.096740168928857,0.21178515826321792,0.4915090212401202,-0.00878736038938682,0.03858978243797006,0.07146528628151304,0.01013702452831172,8.760952743652878,0.5104042866329744,0.8213863339941514,3.3958702494053534e-4,0.00130777526019441,0.3767484374993728,0.8584324511093655,38.124020131077486
115,LowerNorth,Guanella,-0.9956355094909668,18.926749723103367,0.2390837499619735,0.5377163419398479,-0.00205056898146527,0.03947560311156213,-0.06417396113059129,0.00178577363706519,8.760952743652878,0.5104042866329744,0.8213863339941514,3.3958702494053534e-4,0.00130777526019441,0.3767484374993728,0.8584324511093655,38.124020131077486
121,LowerNorth,Guanella,-0.9576320052146912,17.013029422164813,0.10579021928924606,0.5252123364880327,-4.997446336951729e-4,0.03653355682731801,0.15329547934726165,0.03088118924611189,8.760952743652878,0.5104042866329744,0.8213863339941514,3.3958702494053534e-4,0.00130777526019441,0.3767484374993728,0.8584324511093655,38.124020131077486
126,LowerNorth,Guanella,-0.9760783910751344,15.006104088028286,0.08308664901107271,0.5036746195335987,-1.9164404301410245e-6,0.03167350376826753,-0.12515845916007864,-0.09923068441725398,8.760952743652878,0.5104042866329744,0.8213863339941514,3.3958702494053534e-4,0.00130777526019441,0.3767484374993728,0.8584324511093655,38.124020131077486
128,LowerNorth,Guanella,-0.9686210751533508,14.79091146108134,0.12003984083516824,0.5281529372304107,0.00265983531763743,0.03144584006988384,-0.07342908601568672,-0.08268786565351981,8.760952743652878,0.5104042866329744,0.8213863339941514,3.3958702494053534e-4,0.00130777526019441,0.3767484374993728,0.8584324511093655,38.124020131077486
127,LowerNorth,Guanella,-1.0232893228530884,15.564060932096448,0.17863192527811148,0.5986695109157486,0.00160012729427692,0.03330224523789152,-0.01891816450942059,0.14269253906267773,8.760952743652878,0.5104042866329744,0.8213863339941514,3.3958702494053534e-4,0.00130777526019441,0.3767484374993728,0.8584324511093655,38.124020131077486
129,LowerNorth,Guanella,-0.987504541873932,14.608736747390196,0.15063582588697494,0.5497278548091601,0.00444212577265474,0.03089661634985542,-0.0391684641938299,-0.04887514811360936,8.760952743652878,0.5104042866329744,0.8213863339941514,3.3958702494053534e-4,0.00130777526019441,0.3767484374993728,0.8584324511093655,38.124020131077486
131,LowerNorth,Guanella,-0.9826719164848328,14.773130107625336,0.18342181471312224,0.5072752528631345,0.00199553129839643,0.03123286831186909,-0.04711315133110699,-0.07386756650477996,8.760952743652878,0.5104042866329744,0.8213863339941514,3.3958702494053534e-4,0.00130777526019441,0.3767484374993728,0.8584324511093655,38.124020131077486
136,LowerNorth,Guanella,-0.9981080889701844,17.204127862177806,0.22546243853865441,0.49135906696558845,0.00155343702791393,0.03655721109066036,0.02307727177486742,0.13631026367500945,8.760952743652878,0.5104042866329744,0.8213863339941514,3.3958702494053534e-4,0.00130777526019441,0.3767484374993728,0.8584324511093655,38.124020131077486
