date,site,SouthEast,SouthWest,NorthEast,NorthWest,TopEast,TopWest,snotel_swe,snotel_snow_depth,snotel_tmean
2023-02-18,jones,-8.844916666666666,-9.109666666666667,-11.384166666666667,-12.149916666666666,-10.350083333333334,-7.64488982508682,345.4,1190,-9.3
2023-02-19,jones,-10.48,-10.019416666666666,-11.709333333333333,-11.928083333333333,-10.089083333333333,-6.720661511168273,345.4,1190,-11
2023-02-20,jones,-9.939083333333333,-9.385583333333333,-10.74275,-10.415,-9.428333333333333,-7.631696984825694,348,1220,-8.1
2023-02-21,jones,-7.161083333333334,-6.819583333333334,-8.8825,-7.846,-8.00675,-5.948455127442982,350.5,1220,-5.2
2023-02-22,jones,-6.5665,-5.545583333333333,-8.35175,-7.812916666666666,-7.691,-4.7701562423540755,350.5,1190,-12.2
2023-02-23,jones,-12.875166666666667,-10.648916666666667,-11.806083333333333,-11.30625,-10.224666666666666,-8.650812391804278,350.5,1320,-16.3
2023-02-24,jones,-12.44475,-11.429666666666666,-12.145666666666667,-12.532833333333333,-10.569666666666667,-9.932557645081387,353.1,1300,-12.3
2023-02-25,jones,-9.718083333333333,-9.45725,-11.027583333333334,-10.368666666666666,-9.601666666666667,-8.217399409253757,358.1,1270,-4
2023-02-26,jones,-6.1754999999999995,-6.807083333333333,-9.22275,-7.611666666666666,-8.323583333333334,-4.7261580482559244,358.1,1270,-6.3
2023-02-27,jones,-8.656166666666667,-7.78525,-9.0635,-8.875166666666667,-8.679916666666667,-5.3718587565320055,358.1,1300,-11.5
2023-02-28,jones,-10.705666666666668,-10.077666666666666,-10.755916666666666,-11.172083333333333,-9.701083333333333,-7.2474643793583615,360.7,1300,-13.8
2023-03-01,jones,-12.24775,-11.754416666666668,-12.007333333333333,-11.993666666666666,-10.800583333333334,-8.509473055992215,365.8,1350,-12.6
2023-03-02,jones,-7.5440000000000005,-7.388333333333334,-9.02775,-8.413333333333334,-9.418416666666667,-7.831728917753892,370.8,1370,-12.5
2023-03-03,jones,-7.821416666666667,-7.130416666666667,-9.361833333333333,-9.17225,-9.3355,-7.044341838941036,373.4,1370,-11.9
2023-03-04,jones,-9.300416666666667,-7.723833333333333,-10.008166666666666,-9.92375,-9.675416666666667,-6.9632493213814675,375.9,1420,-9.9
2023-03-05,jones,-8.300666666666666,-7.968833333333333,-9.161666666666667,-8.413083333333333,-8.840250000000001,-7.340113715695636,378.5,1370,-8.6
2023-03-06,jones,-8.3125,-7.811583333333333,-9.470166666666668,-8.665166666666666,-8.709,-5.583639451928334,378.5,1370,-5.7
2023-03-07,jones,-6.08325,-6.17675,-9.1455,-7.356416666666667,-8.178166666666666,-4.358442036641079,378.5,1350,-5
2023-03-08,jones,-5.746833333333333,-6.37625,-9.039666666666667,-7.4215,-8.250083333333333,-4.123844707525577,378.5,1320,-6.1
2023-03-09,jones,-6.84575,-6.29475,-8.080833333333333,-7.62025,-8.135333333333334,-4.379552857604906,378.5,1320,-9.1
2023-03-10,jones,-6.338416666666666,-6.960583333333333,-8.844833333333334,-7.943666666666667,-7.992166666666667,-5.751478854221616,381,1370,-3.7
2023-03-11,jones,-4.992916666666667,-5.25975,-6.893166666666667,-5.914833333333333,-5.875333333333334,-4.056313605743937,388.6,1370,-8.2
2023-03-12,jones,-6.558538461538461,-5.345384615384615,-8.155923076923077,-7.396384615384616,-7.196272727272728,-5.254651036317298,401.3,1520,-8.7
2023-03-13,jones,-5.36425,-5.06625,-6.702416666666667,-6.2389166666666664,-6.2396666666666665,-5.078948830503989,408.9,1550,-7.9
2023-03-14,jones,-4.569416666666667,-4.74225,-6.922750000000001,-6.100666666666667,-6.11175,-4.333796467060622,408.9,1520,-4.5
2023-03-15,jones,-2.9694166666666666,-3.4443333333333332,-5.415,-3.750166666666667,-4.546666666666667,-3.8753197212131014,411.5,1470,-2.7
2023-03-16,jones,-3.2900833333333335,-2.16175,-4.84675,-5.072583333333333,-5.1615,-2.720585001973133,414,1470,-12.6
2023-03-17,jones,-5.845000000000001,-4.68975,-7.9705,-7.808416666666667,-7.38375,-7.698110229953797,416.6,1520,-16.2
2023-03-18,jones,-8.006333333333334,-6.4150833333333335,-11.192333333333334,-11.500583333333333,-9.876583333333334,-8.162785274930014,416.6,1500,-14.9
2023-03-19,jones,-8.728,-7.757416666666667,-11.573833333333333,-12.390916666666666,-10.328333333333333,-7.93499736450299,416.6,1470,-10.4
2023-03-20,jones,-6.839,-6.721416666666666,-9.036333333333333,-9.21975,-8.431333333333333,-5.969819425551363,416.6,1450,-7.6
2023-03-21,jones,-5.7404166666666665,-5.762083333333333,-7.430166666666667,-7.4223333333333334,-7.342833333333333,-4.789567747798698,421.6,1470,-8.9
2023-03-22,jones,-4.685333333333333,-4.982666666666667,-6.7985,-6.521333333333334,-6.1295,-5.982399175910714,429.3,1550,-6.9
2023-03-23,jones,-5.5365,-5.294666666666667,-7.123,-6.658916666666666,-7.132666666666666,-4.481006551431007,439.4,1650,-10.1
2023-03-24,jones,-4.0696666666666665,-4.274,-5.965583333333333,-6.754666666666667,-6.36825,-5.48735076241958,444.5,1630,-11.4
2023-03-25,jones,-5.77275,-4.811333333333334,-7.643416666666667,-7.171833333333334,-8.374666666666666,-6.524911524176743,447,1700,-18.2
2023-03-26,jones,-9.183250000000001,-8.73375,-10.729583333333334,-11.386083333333334,-10.428,-9.35581210633019,452.1,1680,-16.5
2023-03-27,jones,-9.26225,-8.63725,-10.47325,-11.329,-10.45525,-8.775351038878865,452.1,1630,-18.1
2023-03-28,jones,-10.079166666666666,-8.0895,-11.796333333333333,-12.571250000000001,-11.089083333333333,-9.229827916766807,452.1,1630,-9.2
2023-03-29,jones,-6.0835,-5.927666666666667,-7.823666666666667,-6.569083333333333,-7.35225,-6.109621815364121,452.1,1600,-2.3
2023-03-30,jones,-3.78425,-3.929583333333333,-5.664166666666667,-3.968,-4.731333333333334,-2.148503231236488,452.1,1570,-4.9
2023-03-31,jones,-6.127916666666667,-3.9044166666666666,-6.70975,-7.00675,-7.091333333333333,-3.6078957805100473,457.2,1630,-12.1
2023-04-01,jones,-6.054416666666667,-5.05625,-7.468416666666667,-6.307416666666667,-6.20425,-6.934801994763418,472.4,1750,-5.2
2023-04-02,jones,-4.552833333333333,-3.9371666666666667,-6.697583333333333,-5.144166666666667,-4.960916666666667,-3.803097389884512,472.4,1680,-2.1
2023-04-03,jones,-1.8882499999999998,-2.9946666666666664,-5.032583333333333,-2.2589166666666665,-3.2419166666666666,-1.8711688053803204,472.4,1630,-1.2
2023-04-04,jones,-4.333916666666666,-3.248,-4.25775,-4.5432500000000005,-4.6451666666666664,-1.5597820016449322,472.4,1600,-12.4
2023-04-05,jones,-6.7547500000000005,-5.3735,-7.14025,-7.103416666666667,-6.933166666666667,-6.338333034601319,482.6,1750,-16.4
2023-04-06,jones,-7.326833333333333,-6.2155,-8.15525,-8.717083333333333,-7.93375,-8.177867713476713,487.7,1750,-11.6
2023-04-07,jones,-4.3995,-4.488083333333334,-7.1425,-5.057916666666666,-5.202,-6.2993319789804465,490.2,1680,-2.9
2023-04-08,jones,-2.0536666666666665,-1.4980833333333334,-4.6475,-2.6935000000000002,-2.888583333333333,-2.8349879238979967,495.3,1650,-2.6
2023-04-09,jones,-0.028583333333333925,-0.2814166666666666,-3.15425,-1.1831666666666667,-1.2005000000000001,-2.097736276224579,495.3,1630,-2.8
2023-04-10,jones,2.759416666666667,2.4584166666666665,-2.2403333333333335,1.3008333333333333,1.5845833333333332,-1.860501126953081,500.4,1600,2.4
2023-04-11,jones,4.894083333333334,4.324083333333333,-0.19174999999999992,4.29975,2.7944166666666668,0.04340907682926462,495.3,1550,5.8
2023-04-12,jones,4.39225,3.7490833333333335,0.3881666666666667,3.8903333333333334,3.2354166666666666,1.4324309798452515,490.2,1500,5.4
2023-04-13,jones,3.3948333333333336,2.87525,0.4940833333333334,3.1015833333333336,2.4335000000000004,1.371529558998007,485.1,1450,2
2023-04-14,jones,-0.51075,-0.040000000000000036,-0.27041666666666664,-0.26333333333333336,-0.21458333333333326,0.05339351085932384,472.4,1450,-6.1
2023-04-15,jones,-0.8538333333333332,-0.176,-0.6438333333333333,-0.8030833333333334,-0.8040833333333334,-3.376444265869749,477.5,1570,-10.9
2023-04-16,jones,-1.6111666666666666,-1.0274999999999999,-3.6633333333333336,-3.7975,-0.4618333333333333,-5.39103672766113,480.1,1550,-3.6
