date,site,SouthLower,SouthUpper,NorthUpper,NorthLower,TopUpper,TopLower,snotel_swe,snotel_snow_depth,snotel_tmean
2023-06-26,niwot,17.029319016709685,13.234166666666667,12.568333333333333,14.028094466109048,14.074166666666667,14.340666666666667,0,0,13.6
2023-06-27,niwot,18.091896383881434,14.906416666666667,14.832416666666667,15.55389203590874,15.757916666666667,15.67625,0,0,14.9
2023-06-28,niwot,17.67176725414922,14.675833333333333,15.009666666666666,14.96989747118135,15.1405,15.64175,0,0,11
2023-06-29,niwot,15.984992142654612,13.622666666666667,13.706583333333333,12.69990586579757,12.901333333333334,15.033416666666666,0,0,9.9
2023-06-30,niwot,14.207263345177175,10.815166666666666,10.82775,10.23896610479681,10.3385,12.18,0,0,6.6
2023-07-01,niwot,14.648909513248977,10.884166666666667,10.69625,10.8043300494059,10.829166666666667,12.49625,0,0,8.6
2023-07-02,niwot,16.508633121166632,13.064166666666667,13.209333333333333,13.336178348634627,13.367750000000001,14.843583333333333,0,0,11.6
2023-07-03,niwot,18.013434645163546,15.205916666666667,15.898416666666666,15.411878795195145,15.499666666666666,16.95525,0,0,12.6
2023-07-04,niwot,16.693677842874084,14.535166666666667,14.37775,13.659033641039793,13.812166666666666,16.31925,0,0,9.6
2023-07-05,niwot,14.575065811019147,12.17525,11.6315,10.790655641352993,10.94725,13.486666666666666,0,0,6.4
2023-07-06,niwot,14.0479205295404,10.417416666666666,9.046666666666667,10.034386237201085,10.10025,11.319583333333334,0,0,8.7
2023-07-07,niwot,14.525927841198447,11.802166666666666,10.39075,10.714777377333172,10.83125,12.60675,0,0,7.9
2023-07-08,niwot,15.057826749983263,11.596583333333333,10.417083333333334,11.427709258536362,11.514750000000001,12.54975,0,0,9.8
2023-07-09,niwot,15.468909219837279,12.613666666666667,11.126166666666666,12.035275609369302,12.207083333333333,13.806833333333334,0,0,10.5
2023-07-10,niwot,16.841562905545885,14.328583333333333,13.063749999999999,13.88317352644645,14.012500000000001,15.193833333333334,0,0,12.6
2023-07-11,niwot,17.653423939641826,15.498333333333333,14.0435,15.021488591799022,15.208666666666666,16.26275,0,0,14.1
2023-07-12,niwot,18.162366230028468,16.185333333333332,15.074916666666667,15.735695548008886,15.95475,16.66016666666667,0,0,13.2
2023-07-13,niwot,17.834644227445935,16.2305,15.42625,15.30482655936151,15.5365,16.952916666666667,0,0,13.1
2023-07-14,niwot,17.646039892195613,15.811083333333332,15.513583333333333,15.059213827937407,15.296000000000001,16.632583333333333,0,0,12.7
2023-07-15,niwot,18.98448411643777,17.02025,16.92075,16.83186187944107,16.967,18.077083333333334,0,0,11.7
2023-07-16,niwot,18.94757927018715,17.232083333333332,17.3995,16.795896807914623,16.942416666666666,18.684916666666666,0,0,16.3
2023-07-17,niwot,19.409604762940017,18.045416666666668,18.595333333333333,17.47707946466624,17.71275,19.763,0,0,17.1
2023-07-18,niwot,19.300608734911876,17.678416666666667,17.28075,17.392187590499525,17.733916666666666,19.45225,0,0,15.1
2023-07-19,niwot,17.45815950933186,16.169333333333334,16.096333333333334,14.869410662241473,15.149750000000001,17.536666666666665,0,0,12.4
2023-07-20,niwot,15.57681834985165,13.9375,13.185833333333333,12.315964882176724,12.577666666666667,14.55175,0,0,9.4
2023-07-21,niwot,16.069469330910103,13.848,12.558416666666666,12.913920371234605,13.01825,14.944666666666667,0,0,9.1
2023-07-22,niwot,17.344322281857025,15.400583333333334,13.934666666666667,14.648372611929114,14.741416666666666,16.497166666666665,0,0,12.9
2023-07-23,niwot,17.699369037842416,16.512666666666668,15.84525,15.204133524684318,15.42175,17.782166666666665,0,0,15.4
2023-07-24,niwot,19.34299873024921,17.991833333333332,17.677583333333335,17.473716662322936,17.74675,19.552166666666665,0,0,16.8
2023-07-25,niwot,17.889521236172406,16.874,16.259833333333333,15.583415361157728,15.996500000000001,18.364416666666667,0,0,15.4
2023-07-26,niwot,18.267300077152257,16.310416666666665,15.98075,16.052109936182028,16.35725,17.512833333333333,0,0,14.2
2023-07-27,niwot,17.979964371854642,15.596833333333333,16.204416666666667,15.668397230310513,15.9635,17.34575,0,0,14.4
2023-07-28,niwot,18.459543233057875,17.0835,17.299333333333333,16.303292112372155,16.544249999999998,18.941833333333335,0,0,13.7
2023-07-29,niwot,17.97157919855496,16.445833333333333,16.018833333333333,15.68573319539467,15.990833333333333,18.205666666666666,0,0,14
2023-07-30,niwot,17.203530056006365,15.735166666666666,15.374666666666666,14.693794445604619,15.07375,17.164583333333333,0,0,15.5
2023-07-31,niwot,17.805315766112866,15.649166666666666,15.724666666666666,15.506082529228417,15.852833333333333,17.071833333333334,0,0,13.4
2023-08-01,niwot,16.4715611927431,14.728833333333334,13.65775,13.67961135934109,13.969416666666666,16.08325,0,0,10.5
2023-08-02,niwot,14.691878433073322,12.157583333333333,11.219166666666666,11.264975228353984,11.530666666666667,12.916,0,0,10.8
2023-08-03,niwot,16.49164056465353,13.576833333333333,11.25,13.672137438654596,13.84225,14.701666666666666,0,0,11.6
2023-08-04,niwot,16.28402377274205,14.146916666666668,13.322479826247553,13.415022815085928,13.60675,15.076833333333333,0,0,11.6
2023-08-05,niwot,14.49463578563645,12.606666666666667,11.069678898423144,11.01442358299999,11.233666666666666,13.43425,0,0,9.7
2023-08-06,niwot,14.912062911766865,12.706999999999999,11.476242731267655,11.561511315781269,11.714916666666666,13.650333333333332,0,0,7.6
2023-08-07,niwot,13.110631211866185,10.161833333333334,9.206536781998176,9.126374824627357,9.270583333333333,11.248166666666666,0,0,10.1
2023-08-08,niwot,14.32976743605828,11.38875,10.79748523218708,10.803327462653153,10.962416666666666,12.346416666666666,0,0,10
2023-08-09,niwot,15.418591835032506,13.220166666666668,12.192551379460776,12.293303542914538,12.446916666666667,14.535916666666667,0,0,10.2
2023-08-10,niwot,16.354886462813372,14.531416666666667,13.36918724703474,13.559270458690373,13.673583333333333,15.911666666666667,0,0,12.8
2023-08-11,niwot,16.239760056145464,14.627083333333333,13.42767269064961,13.476469869943054,13.704083333333333,16.364833333333333,0,0,13.2
2023-08-12,niwot,14.926781060201092,13.017666666666667,11.877927585786688,11.75282343433451,12.063583333333334,14.396583333333334,0,0,11.4
2023-08-13,niwot,13.163299257817913,10.337583333333333,9.541874768237898,9.363652605835393,9.651083333333334,11.000583333333333,0,0,7
2023-08-14,niwot,15.397511761041521,12.355416666666667,12.0606071192993,12.30716566873246,12.388666666666667,13.405833333333334,0,0,6.7
2023-08-15,niwot,16.82857470205964,14.531916666666667,13.984475057019688,14.26939199339193,14.357333333333333,16.060416666666665,0,0,12.2
2023-08-16,niwot,17.383341187493944,15.921416666666667,15.033675231081412,15.132865353097538,15.404,17.68691666666667,0,0,14
2023-08-17,niwot,15.800523220221864,14.679,13.222587178109302,13.06182902559504,13.45025,16.360666666666667,0,0,14.1
2023-08-18,niwot,15.69945465949015,14.220833333333333,13.11772818105859,12.940946089559867,13.326916666666667,15.7075,0,0,15.2
2023-08-19,niwot,15.285629817728163,13.906,12.601292577737974,12.406444034516591,12.810666666666666,15.099916666666667,0,0,12.8
2023-08-20,niwot,16.606920072093452,14.787833333333333,14.225513788749788,14.196434604702683,14.558833333333334,16.219416666666667,0,0,12.3
2023-08-21,niwot,17.59373923203012,16.650333333333332,15.489966153492697,15.536450828663584,15.86425,18.164416666666668,0,0,15.9
2023-08-22,niwot,17.129318412393594,16.46475,15.070026114899543,14.9822936237345,15.422666666666668,17.93925,0,0,13.8
2023-08-23,niwot,15.767462063707296,14.47725,13.218949198168156,13.11580208281344,13.4835,16.015666666666668,0,0,13.3
2023-08-24,niwot,16.086238247556636,14.945416666666667,13.601124578465454,13.562159088975188,13.919083333333333,16.52,0,0,11.7
2023-08-25,niwot,13.213533447201751,11.5205,9.947127498174973,9.697840436461826,10.084166666666667,12.506416666666667,0,0,7.9
2023-08-26,niwot,14.733443588520828,11.844249999999999,11.546196201160194,11.664669932304202,11.824333333333334,12.5075,0,0,9.4
2023-08-27,niwot,15.347561883302035,13.8825,12.531279730940662,12.571356669709354,12.835083333333333,14.573,0,0,10.4
2023-08-28,niwot,14.297755368660981,12.731083333333334,11.334071661326726,11.216833358479159,11.578333333333333,13.352166666666667,0,0,7.8
2023-08-29,niwot,14.238771884491136,12.255916666666668,11.08803047297024,11.101677079910184,11.354083333333334,13.016083333333333,0,0,7.4
2023-08-30,niwot,15.34219437839538,13.452333333333334,12.544703821326317,12.601668459449735,12.817916666666667,14.746416666666667,0,0,14.3
2023-08-31,niwot,16.1400177608416,14.83675,13.846037150161289,13.787863903071576,14.165083333333333,15.871666666666666,0,0,14.3
2023-09-01,niwot,16.543062267255845,15.73075,14.497249493887745,14.393050824527046,14.842166666666666,16.610500000000002,0,0,14.4
2023-09-02,niwot,16.75796115414691,15.80975,14.766181124981154,14.709664654814498,15.165083333333333,16.844333333333335,0,0,12
2023-09-03,niwot,13.032414552723607,12.756833333333333,10.020166672115204,9.685893726593514,10.161916666666666,14.08575,0,0,8.9
2023-09-04,niwot,12.754423223302242,10.431666666666667,9.499144294467465,9.277874765196936,9.650083333333333,11.945,0,0,8.1
2023-09-05,niwot,9.63065465320336,9.103,5.465835260384433,5.045969572615542,5.389,8.22875,0,0,7
2023-09-06,niwot,12.746277777777777,10.96935294117647,9.55376923076923,9.535266666666667,10.060571428571428,11.449777777777777,0,0,11.4
2023-09-07,niwot,13.293722222222222,11.241666666666667,10.6265,10.079611111111111,10.413277777777777,11.227,0,0,10.6
2023-09-08,niwot,14.075833333333334,12.132055555555556,10.680833333333334,10.428777777777778,10.684111111111111,12.016041666666666,0,0,9.8
2023-09-09,niwot,14.434833333333334,12.366722222222222,10.916333333333334,10.401333333333334,10.92838888888889,11.982125,0,0,10.6
2023-09-10,niwot,12.215166666666667,10.738944444444444,9.469166666666666,9.105555555555556,9.657111111111112,10.376041666666666,0,0,5.6
2023-09-11,niwot,8.935666666666666,8.188944444444445,7.160166666666667,7.476444444444445,7.177277777777777,8.00825,0,0,3.7
2023-09-12,niwot,9.512666666666666,8.906555555555556,7.154166666666667,7.5635,7.5632777777777775,8.892291666666667,0,0,4
2023-09-13,niwot,9.233222222222222,8.661055555555556,7.095555555555555,7.026055555555556,7.307611111111111,8.718791666666666,0,0,4.2
2023-09-14,niwot,7.347166666666666,6.640833333333333,5.9143888888888885,5.688944444444444,5.922555555555555,6.730416666666667,0,0,3.4
2023-09-15,niwot,6.0135555555555555,5.357722222222222,4.582777777777777,5.050055555555556,4.791555555555556,5.856208333333333,0,0,1.7
2023-09-16,niwot,6.990944444444445,6.355388888888889,4.485833333333334,5.068388888888889,5.075,6.520083333333333,0,0,3.5
2023-09-17,niwot,9.65188888888889,8.63861111111111,7.511888888888889,6.675166666666667,7.425722222222222,8.281375,0,0,8.2
2023-09-18,niwot,9.738277777777778,8.68538888888889,7.620777777777778,7.043333333333333,7.521944444444444,8.23725,0,0,8.2
2023-09-19,niwot,9.770888888888889,8.359555555555556,6.854166666666667,6.746,7.049444444444444,7.8341666666666665,0,0,7.4
2023-09-20,niwot,10.464833333333333,9.051333333333334,7.080722222222223,7.089777777777778,7.379444444444444,8.436125,0,0,7.2
2023-09-21,niwot,10.318166666666666,8.83761111111111,6.5455,6.672777777777778,7.103944444444444,8.041333333333332,0,0,5.1
2023-09-22,niwot,10.363111111111111,8.803055555555556,6.8149444444444445,6.5552222222222225,7.218944444444444,8.3135,0,0,6.6
2023-09-23,niwot,8.6225,6.516944444444444,5.056111111111111,4.079277777777778,5.266277777777778,5.971708333333333,0,0,4
2023-09-24,niwot,9.118388888888889,7.122055555555556,5.017555555555556,4.381222222222222,5.371833333333333,6.698833333333334,0,0,5.2
2023-09-25,niwot,10.812888888888889,9.069833333333333,6.794722222222222,5.876222222222222,7.0568333333333335,8.41125,0,0,5.2
2023-09-26,niwot,12.086388888888889,10.343833333333333,8.429499999999999,7.277111111111111,8.639888888888889,9.814125,0,0,6.5
2023-09-27,niwot,13.049555555555555,11.143666666666666,9.135944444444444,7.879555555555555,9.437611111111112,10.624375,0,0,9.7
2023-09-28,niwot,14.236444444444444,12.270222222222223,10.424888888888889,8.992277777777778,10.6425,11.662833333333333,0,0,11.6
2023-09-29,niwot,14.620666666666667,12.578055555555556,10.218111111111112,9.165222222222223,10.693999999999999,11.884666666666666,0,0,8.8
2023-09-30,niwot,13.062444444444445,11.178111111111111,9.0435,7.883111111111111,9.51538888888889,10.438833333333333,0,0,7.7
2023-10-01,niwot,12.249333333333333,10.397944444444445,8.300277777777778,7.7234444444444446,8.972611111111112,10.1545,0,0,8.5
2023-10-02,niwot,10.968,9.311333333333334,7.452277777777778,6.832055555555556,7.983666666666666,8.8635,0,0,5.5
2023-10-03,niwot,7.944727272727273,6.175,4.065111111111111,3.5222777777777776,4.705555555555556,5.508583333333333,0,0,0.4
2023-10-04,niwot,6.336833333333334,5.080055555555555,2.6472777777777776,2.3265000000000002,3.188555555555556,4.549833333333333,0,0,2.2
2023-10-05,niwot,7.848,6.457111111111111,3.7175555555555557,3.1825,4.110166666666666,5.578291666666667,0,0,3
2023-10-06,niwot,8.0035,7.235611111111111,5.079111111111111,4.279055555555556,5.254333333333333,6.261625,0,0,-0.3
2023-10-07,niwot,9.907666666666668,8.889444444444445,6.384222222222222,5.234944444444444,6.622777777777777,7.755875,0,0,4
2023-10-08,niwot,10.909833333333333,9.594111111111111,6.811833333333333,5.4510555555555555,7.1994444444444445,8.32575,0,0,5.8
2023-10-09,niwot,10.907666666666668,9.513222222222222,6.857611111111111,5.281833333333333,7.252166666666667,8.09225,0,0,5.7
2023-10-10,niwot,10.824166666666667,9.098611111111111,5.683277777777778,4.513888888888889,6.428333333333334,7.426875,0,0,4.7
2023-10-11,niwot,8.284166666666668,7.363611111111111,4.911444444444444,4.021222222222222,5.482611111111111,6.342083333333333,0,0,2.1
2023-10-12,niwot,3.729166666666667,3.600888888888889,1.1040555555555556,1.1307777777777779,1.732888888888889,2.619125,0,0,-3.8
2023-10-13,niwot,2.897,2.3170555555555556,-0.20944444444444432,-0.025833333333333323,0.5327222222222223,1.5459166666666666,7.6,50,-4.3
2023-10-14,niwot,3.065166666666667,2.7303888888888888,0.3388333333333333,0.03077777777777783,0.9222222222222223,1.9435,7.6,50,-0.3
2023-10-15,niwot,4.950333333333333,3.9145,0.9489444444444444,0.45788888888888885,1.6532777777777776,2.962041666666667,10.2,50,2.3
2023-10-16,niwot,6.918166666666667,5.927333333333333,2.938388888888889,1.8116666666666665,3.4866666666666664,4.804416666666667,0,0,5.9
2023-10-17,niwot,8.209,7.353111111111112,5.126944444444445,3.7006666666666668,5.411,6.506583333333333,0,0,8.7
2023-10-18,niwot,7.279166666666667,6.2065,4.319222222222223,3.3384444444444443,4.5745000000000005,5.392291666666667,0,0,5.5
