"Plot Title: 20365583"
"#","Date Time, GMT-06:00","Temp, °C (LGR S/N: 20365583, SEN S/N: 20365583)","Coupler Detached (LGR S/N: 20365583)","Bad Battery (LGR S/N: 20365583)","Good Battery (LGR S/N: 20365583)","Coupler Attached (LGR S/N: 20365583)","Host Connected (LGR S/N: 20365583)","Stopped (LGR S/N: 20365583)","End Of File (LGR S/N: 20365583)"
178,10/02/22 12:21:41 PM,8.382,,,,,,,
179,10/02/22 02:21:41 PM,11.528,,,,,,,
180,10/02/22 04:21:41 PM,12.110,,,,,,,
181,10/02/22 06:21:41 PM,9.077,,,,,,,
182,10/02/22 08:21:41 PM,5.962,,,,,,,
183,10/02/22 10:21:41 PM,4.934,,,,,,,
184,10/03/22 12:21:41 AM,4.623,,,,,,,
185,10/03/22 02:21:41 AM,4.519,,,,,,,
186,10/03/22 04:21:41 AM,3.998,,,,,,,
187,10/03/22 06:21:41 AM,3.049,,,,,,,
188,10/03/22 08:21:41 AM,2.624,,,,,,,
189,10/03/22 10:21:41 AM,7.280,,,,,,,
190,10/03/22 12:21:41 PM,13.654,,,,,,,
191,10/03/22 02:21:41 PM,16.141,,,,,,,
192,10/03/22 04:21:41 PM,13.269,,,,,,,
193,10/03/22 06:21:41 PM,8.879,,,,,,,
194,10/03/22 08:21:41 PM,6.978,,,,,,,
195,10/03/22 10:21:41 PM,6.064,,,,,,,
196,10/04/22 12:21:41 AM,5.552,,,,,,,
197,10/04/22 02:21:41 AM,4.311,,,,,,,
198,10/04/22 04:21:41 AM,3.472,,,,,,,
199,10/04/22 06:21:41 AM,2.730,,,,,,,
200,10/04/22 08:21:41 AM,2.730,,,,,,,
201,10/04/22 10:21:41 AM,7.582,,,,,,,
202,10/04/22 12:21:41 PM,12.787,,,,,,,
203,10/04/22 02:21:41 PM,12.304,,,,,,,
204,10/04/22 04:21:41 PM,13.173,,,,,,,
205,10/04/22 06:21:41 PM,9.373,,,,,,,
206,10/04/22 08:21:41 PM,7.280,,,,,,,
207,10/04/22 10:21:41 PM,5.552,,,,,,,
208,10/05/22 12:21:41 AM,4.415,,,,,,,
209,10/05/22 02:21:41 AM,2.943,,,,,,,
210,10/05/22 04:21:41 AM,1.764,,,,,,,
211,10/05/22 06:21:41 AM,1.003,,,,,,,
212,10/05/22 08:21:41 AM,1.656,,,,,,,
213,10/05/22 10:21:41 AM,4.623,,,,,,,
214,10/05/22 12:21:41 PM,8.082,,,,,,,
215,10/05/22 02:21:41 PM,11.722,,,,,,,
216,10/05/22 04:21:41 PM,10.651,,,,,,,
