pop,tr,plantID,year,area,log_size,surv,log_size_t0,growth
NorthWest,2,1236,2024,925.1990364821941,6.830008888941041,1,6.80334064185888,0.026668247082160867
NorthWest,2,1236,2025,956.3793435690727,6.863154637242471,1,6.830008888941041,0.03314574830142991
NorthWest,2,1237,2023,141.3716694115407,4.95139237561972,1,4.894822024131326,0.05657035148839373
NorthWest,2,1237,2024,162.57741982327178,5.091154317994879,1,4.95139237561972,0.13976194237515926
NorthWest,2,1237,2025,78.53981633974483,4.363605710717601,1,5.091154317994879,-0.7275486072772779
NorthWest,2,1238,2023,238.76104167282426,5.475463226135731,1,5.182504096583107,0.2929591295526244
NorthWest,2,1238,2024,428.8273972150068,6.061054500474414,1,5.475463226135731,0.5855912743386833
NorthWest,2,1238,2025,487.73225946981535,6.189766606662988,1,6.061054500474414,0.12871210618857365
NorthWest,2,1239,2023,106.02875205865551,4.663710303167939,1,4.476934396024604,0.18677590714333459
NorthWest,2,1239,2024,138.23007675795088,4.928919519767661,1,4.663710303167939,0.26520921659972263
NorthWest,2,1239,2025,131.94689145077132,4.882399504132769,1,4.928919519767661,-0.04652001563489261
NorthWest,2,1240,2023,102.10176124166829,4.625969975185092,1,4.545927267511556,0.08004270767353638
NorthWest,2,1240,2024,164.14821615006667,5.10076977669432,1,4.625969975185092,0.47479980150922785
NorthWest,2,1240,2025,157.07963267948966,5.056752891277546,1,5.10076977669432,-0.04401688541677373
NorthWest,2,1241,2023,94.24777960769379,4.545927267511556,1,4.26929503124636,0.27663223626519606
NorthWest,2,1241,2024,62.83185307179586,4.140462159403391,1,4.545927267511556,-0.4054651081081646
NorthWest,2,1241,2025,69.11503837897544,4.235772339207716,1,4.140462159403391,0.09531017980432477
NorthWest,2,1242,2023,120.95131716320704,4.795388127143139,1,4.353555374864099,0.44183275227903973
NorthWest,2,1242,2024,164.93361431346412,5.1055430554469785,1,4.795388127143139,0.31015492830383984
NorthWest,2,1242,2025,175.92918860102841,5.17008157658455,1,5.1055430554469785,0.06453852113757108
NorthWest,2,1243,2023,141.37166941154067,4.95139237561972,1,4.928919519767661,0.02247285585205816
NorthWest,2,1243,2024,213.62830044410595,5.364237591025507,1,4.95139237561972,0.41284521540578734
NorthWest,2,1243,2025,193.99334635916972,5.267823861357487,1,5.364237591025507,-0.09641372966802031
NorthWest,2,1244,2023,284.3141351498763,5.650079736555281,1,5.061242796550398,0.5888369400048825
NorthWest,2,1245,2023,200.2765316663493,5.299699069887936,1,4.808291531979046,0.4914075379088896
NorthWest,2,1245,2024,238.76104167282426,5.475463226135731,1,5.299699069887936,0.17576415624779518
NorthWest,2,1245,2025,238.76104167282426,5.475463226135731,1,5.475463226135731,0
NorthWest,2,1246,2023,28.274333882308138,3.3419544631856195,1,3.3419544631856195,0
NorthWest,2,1247,2023,230.9070600388498,5.4420152920681915,1,5.370102710477905,0.07191258159028635
NorthWest,2,1247,2024,358.1415625092364,5.880928334243896,1,5.4420152920681915,0.43891304217570415
NorthWest,2,1247,2025,395.84067435231395,5.981011792800878,1,5.880928334243896,0.10008345855698231
NorthWest,2,1248,2023,129.59069696057895,4.86438099863009,1,4.721280154989417,0.14310084364067333
NorthWest,2,1248,2024,226.98006922186258,5.4248622128419415,1,4.86438099863009,0.5604812142118512
NorthWest,2,1248,2025,226.98006922186258,5.4248622128419415,1,5.4248622128419415,0
NorthWest,2,1249,2023,791.6813487046279,6.674158973360823,1,6.407679108559646,0.2664798648011777
NorthWest,2,1249,2024,805.8185156457819,6.691858550460224,1,6.674158973360823,0.01769957709940062
NorthWest,2,1249,2025,752.0972812693965,6.622865678973273,1,6.691858550460224,-0.06899287148695077
NorthWest,2,1250,2023,283.7250865273282,5.648005764156151,1,5.439461012263094,0.208544751893057
NorthWest,2,1250,2024,270.9623663721196,5.601979941760869,1,5.648005764156151,-0.04602582239528186
NorthWest,2,1250,2025,260.12387171723486,5.5611579472406145,1,5.601979941760869,-0.04082199452025481
NorthWest,2,1251,2023,153.93804002589985,5.036550183960027,1,4.625969975185092,0.4105802087749346
NorthWest,2,1251,2024,241.74555469373456,5.487885746134288,1,5.036550183960027,0.4513355621742612
NorthWest,2,1251,2025,240.33183799961918,5.482020626681891,1,5.487885746134288,-0.005865119452397316
NorthWest,2,1252,2023,223.83847656827274,5.41092470499816,1,5.41092470499816,0
NorthWest,2,1252,2024,298.45130209103036,5.698606777449941,1,5.41092470499816,0.2876820724517808
NorthWest,2,1252,2025,298.45130209103036,5.698606777449941,1,5.698606777449941,0
NorthWest,2,1254,2023,87.96459430051421,4.476934396024604,1,4.5206094595272655,-0.04367506350266126
NorthWest,2,1254,2024,164.93361431346412,5.1055430554469785,1,4.476934396024604,0.6286086594223743
NorthWest,2,1254,2025,109.95574287564276,4.700077947338814,1,5.1055430554469785,-0.4054651081081646
NorthWest,2,1255,2023,171.05971998796423,5.14201273522837,1,5.575546684692714,-0.4335339494643442
NorthWest,2,1255,2024,66.36614480708438,4.195187059092638,1,5.14201273522837,-0.9468256761357319
NorthWest,2,1255,2025,58.70851271395926,4.072584737000305,1,4.195187059092638,-0.1226023220923329
NorthWest,2,1256,2023,131.94689145077132,4.882399504132769,1,4.26929503124636,0.613104472886409
NorthWest,2,1256,2024,133.5176877775662,4.894233961779771,1,4.882399504132769,0.011834457647002417
NorthWest,2,1256,2025,117.80972450961724,4.7690708188257656,1,4.894233961779771,-0.12516314295400566
NorthWest,2,1257,2023,173.57299411083608,5.1565982262472625,1,5.174535926933929,-0.01793770068666678
NorthWest,2,1257,2024,179.0707812546182,5.18778115368395,1,5.1565982262472625,0.031182927436687713
NorthWest,2,1257,2025,134.30308594096365,4.900099081232169,1,5.18778115368395,-0.2876820724517808
NorthWest,2,1258,2023,129.59069696057895,4.86438099863009,1,5.031435083293256,-0.16705408466316563
NorthWest,2,1258,2024,153.1526418625024,5.031435083293256,1,4.86438099863009,0.16705408466316563
NorthWest,2,1258,2025,235.61944901923448,5.462217999385711,1,5.031435083293256,0.430782916092455
NorthWest,2,1259,2023,328.29643230013335,5.7939169572542655,1,5.698606777449941,0.09531017980432477
NorthWest,2,1259,2024,343.2189974046849,5.8383687198251,1,5.7939169572542655,0.0444517625708345
NorthWest,2,1259,2025,343.2189974046849,5.8383687198251,1,5.8383687198251,0
NorthWest,2,1260,2023,208.91591146372122,5.341931833511208,1,5.299699069887936,0.04223276362327244
NorthWest,2,1260,2024,219.9114857512855,5.393225127898759,1,5.341931833511208,0.051293294387551036
NorthWest,2,1260,2025,230.9070600388498,5.4420152920681915,1,5.393225127898759,0.04879016416943216
NorthWest,2,1261,2023,7.0685834705770345,1.955660102065729,1,2.5310242469692907,-0.5753641449035618
NorthWest,2,1262,2023,483.80526865282815,6.1816824882630295,1,6.188155002768647,-0.006472514505617255
NorthWest,2,1262,2024,552.7632273991242,6.3149297496169945,1,6.1816824882630295,0.13324726135396503
NorthWest,2,1262,2025,552.7632273991242,6.3149297496169945,1,6.3149297496169945,0
NorthWest,2,1263,2023,134.30308594096365,4.900099081232169,1,4.95139237561972,-0.05129329438755015
NorthWest,2,1263,2024,157.07963267948966,5.056752891277546,1,4.900099081232169,0.15665381004537693
NorthWest,2,1263,2025,141.3716694115407,4.95139237561972,1,5.056752891277546,-0.10536051565782678
NorthWest,2,1264,2023,69.11503837897544,4.235772339207716,1,3.9661087722586137,0.2696635669491023
NorthWest,2,1264,2024,69.11503837897544,4.235772339207716,1,4.235772339207716,0
NorthWest,2,1264,2025,47.12388980384689,3.85278008695161,1,4.235772339207716,-0.382992252256106
NorthWest,2,1265,2023,60.47565858160351,4.102240946583193,1,4.102240946583193,0
NorthWest,2,1265,2024,54.97787143782138,4.0069307667788685,1,4.102240946583193,-0.09531017980432477
NorthWest,2,1265,2025,54.97787143782138,4.0069307667788685,1,4.0069307667788685,0
NorthWest,2,1266,2023,224.62387473167018,5.414427335549362,1,5.353518582462369,0.06090875308699317
NorthWest,2,1266,2024,282.7433388230814,5.644539556179665,1,5.414427335549362,0.23011222063030257
NorthWest,2,1266,2025,294.5243112740431,5.685361550699921,1,5.644539556179665,0.0408219945202557
NorthWest,2,1267,2023,112.31193736583512,4.721280154989417,1,4.625969975185092,0.09531017980432477
NorthWest,2,1267,2024,109.95574287564276,4.700077947338814,1,4.721280154989417,-0.0212022076506031
NorthWest,2,1267,2025,109.95574287564276,4.700077947338814,1,4.700077947338814,0
NorthWest,2,1268,2023,293.7389131106456,5.682691322144041,1,5.364237591025507,0.3184537311185345
NorthWest,2,1268,2024,214.4136986075034,5.367907319914469,1,5.682691322144041,-0.3147840022295725
NorthWest,2,1268,2025,214.4136986075034,5.367907319914469,1,5.367907319914469,0
NorthWest,2,1269,2024,15.707963267948966,2.7541677982835004,1,2.3233848821910463,0.4307829160924541
NorthWest,2,1269,2025,15.707963267948966,2.7541677982835004,1,2.7541677982835004,0
NorthWest,2,1270,2023,160.22122533307947,5.076555518573726,1,4.777038988474942,0.2995165300987841
NorthWest,2,1270,2024,47.12388980384689,3.85278008695161,1,5.076555518573726,-1.223775431622116
NorthWest,2,1271,2023,77.75441817634737,4.353555374864099,1,4.458915890521926,-0.10536051565782678
NorthWest,2,1271,2024,132.18251089979057,4.88418362592627,1,4.353555374864099,0.5306282510621712
NorthWest,2,1271,2025,139.9579527174253,4.941342039766218,1,4.88418362592627,0.05715841383994835
NorthWest,2,1272,2023,103.67255756846318,4.641237447315881,1,4.72824882430551,-0.08701137698962924
NorthWest,2,1272,2024,188.49555921538757,5.2390744480715,1,4.641237447315881,0.5978370007556197
NorthWest,2,1272,2025,188.49555921538757,5.2390744480715,1,5.2390744480715,0
NorthWest,2,1273,2023,129.59069696057895,4.86438099863009,1,4.616696338399763,0.24768466023032776
NorthWest,2,1273,2024,54.19247327442393,3.992542029326769,1,4.86438099863009,-0.8718389693033215
NorthWest,2,1273,2025,77.75441817634737,4.353555374864099,1,3.992542029326769,0.3610133455373301
NorthWest,2,1274,2024,551.3495107050087,6.312368928755321,1,6.491837416566869,-0.17946848781154845
