pop,tr,plantID,year,area,log_size,surv,log_size_t0,growth
TopLower,2,675,2024,60.69468613064179,4.105856151080803,1,3.8422079857045603,0.2636481653762428
TopLower,2,675,2025,61.69468613064179,4.12219780290165,1,4.105856151080803,0.016341651820846792
TopLower,2,676,2023,58.12388980384689,4.0625767635762395,1,4.0625767635762395,0
TopLower,2,676,2024,62.26548245743669,4.131407218596264,1,4.0625767635762395,0.0688304550200245
TopLower,2,676,2025,58.12388980384689,4.0625767635762395,1,4.131407218596264,-0.0688304550200245
TopLower,2,677,2023,58.67720833456485,4.072051377749165,1,4.080831776554446,-0.008780398805281031
TopLower,2,677,2024,64.26548245743669,4.163022666846398,1,4.072051377749165,0.09097128909723295
TopLower,2,677,2025,66.26548245743669,4.193669135034074,1,4.163022666846398,0.030646468187675246
TopLower,2,678,2023,30.061944901923447,3.40326008289462,1,3.171765597519022,0.23149448537559802
TopLower,2,678,2024,34.70353755551324,3.5468416286013493,1,3.40326008289462,0.14358154570672932
TopLower,2,678,2025,32.632741228718345,3.4853161165378133,1,3.5468416286013493,-0.06152551206353607
TopLower,2,679,2024,42.48672286269283,3.7491916238915595,1,3.5323290760150003,0.21686254787655912
TopLower,2,679,2025,41.48672286269283,3.7253734450283558,1,3.7491916238915595,-0.0238181788632037
TopLower,2,680,2023,48.769908169872416,3.8871134867977446,1,3.9273038202098323,-0.040190333412087664
TopLower,2,680,2024,53.411500823462205,3.97802609400298,1,3.8871134867977446,0.09091260720523531
TopLower,2,680,2025,49.769908169872416,3.9074105477787953,1,3.97802609400298,-0.07061554622418464
TopLower,2,682,2023,22.34955592153876,3.106806451579799,1,3.1747296550749082,-0.06792320349510916
TopLower,2,682,2024,19.207963267948966,2.95532494658627,1,3.106806451579799,-0.1514815049935292
TopLower,2,682,2025,19.207963267948966,2.95532494658627,1,2.95532494658627,0
TopLower,2,683,2023,35.27433388230814,3.5631556139973815,1,3.534396790753563,0.028758823243818288
TopLower,2,683,2024,37.84513020910303,3.6335023113445377,1,3.5631556139973815,0.07034669734715626
TopLower,2,683,2025,37.34513020910303,3.6202025204572035,1,3.6335023113445377,-0.01329979088733424
TopLower,2,684,2023,23.84955592153876,3.171765597519022,1,3.103633740023793,0.06813185749522876
TopLower,2,684,2024,20.207963267948966,3.0060767479079957,1,3.171765597519022,-0.16568884961102626
TopLower,2,684,2025,20.77875959474386,3.0339312916249352,1,3.0060767479079957,0.027854543716939517
TopLower,2,685,2023,47.2201294554942,3.854820273193088,1,4.05393723525438,-0.19911696206129204
TopLower,2,685,2024,55.553093477052,4.017339202690863,1,3.854820273193088,0.16251892949777513
