pop,tr,plantID,year,area,log_size,surv,log_size_t0
NorthLower,1,2035,2025,27.48893571891069,3.313783586218923,1,4.102240946583193
NorthLower,1,2036,2023,175.92918860102841,5.17008157658455,1,5.13994448216431
NorthLower,1,2036,2024,208.91591146372122,5.341931833511208,1,5.17008157658455
NorthLower,1,2036,2025,230.9070600388498,5.4420152920681915,1,5.341931833511208
NorthLower,1,2037,2023,212.05750411731103,5.356857483727884,1,5.230706198400984
NorthLower,1,2037,2024,238.76104167282426,5.475463226135731,1,5.356857483727884
NorthLower,1,2037,2025,238.76104167282426,5.475463226135731,1,5.475463226135731
NorthLower,1,2038,2023,373.06412761378795,5.92175032876415,1,5.727143084714875
NorthLower,1,2038,2024,385.9446574935061,5.955693984816588,1,5.92175032876415
NorthLower,1,2038,2025,204.20352248333657,5.319117155745038,1,5.955693984816588
NorthLower,1,2039,2023,810.5309046261666,6.697689470771017,1,6.835089340173461
NorthLower,1,2039,2024,875.8760318208342,6.775224564735769,1,6.697689470771017
NorthLower,1,2039,2025,985.3605357984385,6.893007600392152,1,6.775224564735769
NorthLower,1,2040,2024,223.83847656827274,5.41092470499816,1,5.356857483727884
NorthLower,1,2040,2025,219.9114857512855,5.393225127898759,1,5.41092470499816
NorthLower,1,2041,2023,551.3495107050087,6.312368928755321,1,6.646396176383467
NorthLower,1,2041,2024,357.356164345839,5.87873294368046,1,6.312368928755321
NorthLower,1,2041,2025,248.8141381643116,5.51670618466978,1,5.87873294368046
NorthLower,1,2042,2023,38.48451000647496,3.650255822840136,1,3.650255822840136
NorthLower,1,2042,2024,19.634954084936208,2.97731134959771,1,3.650255822840136
NorthLower,1,2042,2025,19.634954084936208,2.97731134959771,1,2.97731134959771
NorthLower,1,2043,2023,263.89378290154264,5.575546684692714,1,5.41092470499816
NorthLower,1,2043,2024,373.06412761378795,5.92175032876415,1,5.575546684692714
NorthLower,1,2043,2025,373.06412761378795,5.92175032876415,1,5.92175032876415
NorthLower,1,2044,2023,1802.4887849971437,7.496923647224155,1,7.209967527617323
NorthLower,1,2044,2024,2111.150263212341,7.6549882263725495,1,7.496923647224155
NorthLower,1,2044,2025,2111.150263212341,7.6549882263725495,1,7.6549882263725495
NorthLower,1,2045,2023,204.20352248333654,5.319117155745038,1,5.341931833511208
NorthLower,1,2045,2024,313.37386719558185,5.747396941619373,1,5.319117155745038
NorthLower,1,2045,2025,280.3871443328891,5.636171306509149,1,5.747396941619373
NorthLower,1,2046,2023,164.93361431346412,5.1055430554469785,1,5.1055430554469785
NorthLower,1,2046,2024,219.9114857512855,5.393225127898759,1,5.1055430554469785
NorthLower,1,2046,2025,311.0176727053895,5.73984973598399,1,5.393225127898759
NorthLower,1,2047,2023,0,NA,0,3.650255822840136
NorthLower,1,2048,2023,120.95131716320704,4.795388127143139,1,4.4028264238708825
NorthLower,1,2048,2024,129.59069696057895,4.86438099863009,1,4.795388127143139
NorthLower,1,2048,2025,179.0707812546182,5.18778115368395,1,4.86438099863009
NorthLower,1,2049,2023,50.26548245743669,3.9173186080891815,1,3.650255822840136
NorthLower,1,2049,2024,28.274333882308138,3.3419544631856195,1,3.9173186080891815
NorthLower,1,2049,2025,0,NA,0,3.3419544631856195
NorthLower,1,2050,2023,496.92141798156547,6.208431900882348,1,6.151273487042399
NorthLower,1,2050,2024,481.998852877014,6.177941734124561,1,6.208431900882348
NorthLower,1,2050,2025,429.76987501108374,6.0632498910378505,1,6.177941734124561
NorthLower,1,2051,2023,537.408693304704,6.286758872650298,1,6.020690276619054
