plot,tr,id,year,area,log_size,surv,size_t0
N-east,2,1051,2024,32.132741228718345,3.4698754862864525,1,2.95532494658627
N-east,2,1051,2025,32.132741228718345,3.4698754862864525,1,3.4698754862864525
N-east,2,1052,2023,50.269908169872416,3.91740665096465,1,3.7276000580692688
N-east,2,1052,2024,55.1504388031994,4.010064702208192,1,3.91740665096465
N-east,2,1052,2025,50.74048321104552,3.926724077402209,1,4.010064702208192
N-east,2,1053,2023,69.21238445873168,4.2371798127777325,1,3.507495444958094
N-east,2,1053,2024,66.97698629533424,4.204349072256067,1,4.2371798127777325
N-east,2,1053,2025,37.13052837250048,3.6144394984270996,1,4.204349072256067
N-east,2,1054,2023,32.64690049407733,3.485749919947494,1,3.485749919947494
N-east,2,1054,2024,22.65707812546182,3.120472303131471,1,3.485749919947494
N-east,2,1054,2025,20.707963267948966,3.030518325228393,1,3.120472303131471
N-east,2,1055,2023,34.77433388230814,3.5488795825522326,1,3.6220964569808283
N-east,2,1055,2024,48.269908169872416,3.876808347244083,1,3.5488795825522326
N-east,2,1055,2025,11.37477796076938,2.4313984447141355,1,3.876808347244083
N-east,2,1056,2023,26.420352248333657,3.2741346316447273,1,3.331888337881174
N-east,2,1056,2024,33.70353755551324,3.5176028038228306,1,3.2741346316447273
N-east,2,1056,2025,33.132741228718345,3.5005219544741286,1,3.5176028038228306
N-east,2,1057,2023,22.27875959474386,3.103633740023793,1,3.0060767479079957
N-east,2,1057,2024,28.991148575128552,3.366990561849606,1,3.103633740023793
N-east,2,1057,2025,28.491148575128552,3.349593462724515,1,3.366990561849606
N-east,2,1058,2023,24.420352248333657,3.1954168931622133,1,3.1954168931622133
N-east,2,1058,2024,29.061944901923447,3.369429583016294,1,3.1954168931622133
N-east,2,1058,2025,30.632741228718345,3.422069411738013,1,3.369429583016294
N-east,2,1059,2023,43.55751918948772,3.774082344870132,1,3.6342619910859635
N-east,2,1059,2024,46.12831551628262,3.8314269808891863,1,3.774082344870132
N-east,2,1059,2025,44.05751918948772,3.7854960345118216,1,3.8314269808891863
N-east,2,1060,2023,35.77433388230814,3.577230705627186,1,3.435983433336557
N-east,2,1060,2024,43.12831551628262,3.7641797539332784,1,3.577230705627186
N-east,2,1060,2025,46.19911184307752,3.832960573727095,1,3.7641797539332784
N-east,2,1061,2024,40.22920065876977,3.694593116481918,1,3.3994258298597337
N-east,2,1061,2025,48.840704496667314,3.8885640737221583,1,3.694593116481918
N-east,2,1062,2023,22.27875959474386,3.103633740023793,1,3.2550284612194202
N-east,2,1062,2024,34.77433388230814,3.5488795825522326,1,3.103633740023793
N-east,2,1062,2025,33.20353755551324,3.502656423122993,1,3.5488795825522326
N-east,2,1063,2023,36.41592653589793,3.5950062211440192,1,3.550913391692312
N-east,2,1063,2024,47.769908169872416,3.866395905061158,1,3.5950062211440192
N-east,2,1063,2025,44.12831551628262,3.7871016516098637,1,3.866395905061158
N-east,2,1064,2023,92.25663103256524,4.524574161449132,1,4.583928405205923
N-east,2,1064,2024,69.08495107050086,4.235336922257689,1,4.524574161449132
N-east,2,1064,2025,66.64380098815465,4.199362033869378,1,4.235336922257689
