pop,tr,plantID,year,area,log_size,surv,log_size_t0
NorthLower,2,123,2024,257.41424805351363,5.550686647373318,1,5.4420152920681915
NorthLower,2,123,2025,307.0906818884023,5.727143084714875,1,5.550686647373318
NorthLower,2,124,2024,223.83847656827274,5.41092470499816,1,4.700077947338814
NorthLower,2,124,2025,251.32741228718345,5.526756520523282,1,5.41092470499816
NorthLower,2,125,2024,212.05750411731103,5.356857483727884,1,4.7690708188257656
NorthLower,2,125,2025,226.1946710584651,5.421396004865455,1,5.356857483727884
NorthLower,2,126,2023,432.75438803199404,6.070170333882424,1,5.73984973598399
NorthLower,2,126,2024,461.8141200776996,6.135162472628137,1,6.070170333882424
NorthLower,2,126,2025,471.23889803846896,6.1553651799456555,1,6.135162472628137
NorthLower,2,127,2023,640.8849013323179,6.462849879693617,1,6.432996916543935
NorthLower,2,127,2024,797.1791358484099,6.681079416205397,1,6.462849879693617
NorthLower,2,127,2025,747.6990515543708,6.617000559520875,1,6.681079416205397
NorthLower,2,128,2024,179.0707812546182,5.18778115368395,1,4.594717431680988
NorthLower,2,128,2025,169.64600329384882,5.1337139324136745,1,5.18778115368395
NorthLower,2,129,2023,186.9247628885927,5.230706198400984,1,5.17008157658455
NorthLower,2,129,2024,223.83847656827274,5.41092470499816,1,5.230706198400984
NorthLower,2,129,2025,141.37166941154067,4.95139237561972,1,5.41092470499816
NorthLower,1,13,2023,392.69908169872417,5.9730436231517015,1,5.644539556179665
NorthLower,1,13,2024,428.8273972150068,6.061054500474414,1,5.9730436231517015
NorthLower,1,13,2025,402.90925782289094,5.9987113699002785,1,6.061054500474414
NorthLower,2,130,2023,173.57299411083608,5.1565982262472625,1,5.2390744480715
NorthLower,2,130,2024,103.67255756846318,4.641237447315881,1,5.1565982262472625
NorthLower,2,130,2025,18.84955592153876,2.9364893550774553,1,4.641237447315881
NorthLower,2,131,2023,200.2765316663493,5.299699069887936,1,5.356857483727884
NorthLower,2,131,2024,142.94246573833559,4.962442211806305,1,5.299699069887936
NorthLower,2,131,2025,42.411500823462205,3.7474195712937837,1,4.962442211806305
NorthLower,2,132,2023,60.31857894892403,4.099640164883136,1,4.928919519767661
NorthLower,2,132,2024,63.61725123519331,4.152884679401948,1,4.099640164883136
NorthLower,2,132,2025,0,NA,0,4.152884679401948
NorthLower,2,133,2023,311.0176727053895,5.73984973598399,1,5.698606777449941
NorthLower,2,133,2024,510.5088062083414,6.235407887619193,1,5.73984973598399
NorthLower,2,133,2025,469.6681017116741,6.152026278680141,1,6.235407887619193
NorthLower,2,134,2023,28.274333882308138,3.3419544631856195,1,2.97731134959771
NorthLower,2,134,2024,120.95131716320704,4.795388127143139,1,3.3419544631856195
NorthLower,2,134,2025,77.75441817634737,4.353555374864099,1,4.795388127143139
NorthLower,2,135,2023,578.0530482605219,6.359665643458386,1,6.359665643458386
NorthLower,2,135,2024,784.6127652340508,6.665190303378063,1,6.359665643458386
NorthLower,2,135,2025,614.1813637768046,6.42029026527482,1,6.665190303378063
NorthLower,2,136,2023,318.871654339364,5.764788684331243,1,5.833781555818193
NorthLower,2,136,2024,351.85837720205683,5.863228757144495,1,5.764788684331243
NorthLower,2,136,2025,349.89488179356323,5.8576327716403735,1,5.863228757144495
NorthLower,2,137,2023,240.33183799961918,5.482020626681891,1,5.810524693653926
NorthLower,2,137,2024,379.3473129209675,5.938452178382082,1,5.482020626681891
NorthLower,2,137,2025,329.8672286269283,5.798690236006924,1,5.938452178382082
NorthLower,2,138,2023,109.95574287564276,4.700077947338814,1,4.833609339963337
NorthLower,2,138,2024,179.0707812546182,5.18778115368395,1,4.700077947338814
NorthLower,2,138,2025,160.22122533307947,5.076555518573726,1,5.18778115368395
NorthLower,2,139,2024,223.83847656827274,5.41092470499816,1,5.2390744480715
NorthLower,2,139,2025,223.83847656827274,5.41092470499816,1,5.41092470499816
NorthLower,1,14,2023,153.1526418625024,5.031435083293256,1,4.545927267511556
NorthLower,1,14,2024,325.15483964654356,5.784301498554824,1,5.031435083293256
NorthLower,1,14,2025,298.45130209103036,5.698606777449941,1,5.784301498554824
NorthLower,2,140,2023,263.89378290154264,5.575546684692714,1,5.341931833511208
NorthLower,2,140,2024,414.6902302738527,6.027531808435771,1,5.575546684692714
NorthLower,2,140,2025,414.6902302738527,6.027531808435771,1,6.027531808435771
NorthLower,2,141,2023,138.23007675795088,4.928919519767661,1,5.1565982262472625
NorthLower,2,141,2024,131.94689145077132,4.882399504132769,1,4.928919519767661
NorthLower,2,141,2025,113.09733552923255,4.72824882430551,1,4.882399504132769
NorthLower,2,142,2023,253.6836067773758,5.5360878479521665,1,5.299699069887936
NorthLower,2,142,2024,469.6681017116741,6.152026278680141,1,5.5360878479521665
NorthLower,2,142,2025,527.7875658030853,6.268693865252659,1,6.152026278680141
NorthLower,2,143,2023,60.47565858160351,4.102240946583193,1,3.901570251121042
NorthLower,2,143,2024,94.24777960769379,4.545927267511556,1,4.102240946583193
NorthLower,2,143,2025,75.39822368615503,4.322783716197346,1,4.545927267511556
NorthLower,2,144,2023,213.62830044410595,5.364237591025507,1,5.644539556179665
NorthLower,2,144,2024,0,NA,0,5.364237591025507
NorthLower,2,145,2023,254.46900494077323,5.539179040521839,1,5.601979941760869
NorthLower,2,145,2024,373.06412761378795,5.92175032876415,1,5.539179040521839
NorthLower,2,145,2025,373.06412761378795,5.92175032876415,1,5.92175032876415
NorthLower,2,146,2023,188.49555921538757,5.2390744480715,1,5.230706198400984
NorthLower,2,146,2024,329.8672286269283,5.798690236006924,1,5.2390744480715
NorthLower,2,146,2025,313.37386719558185,5.747396941619373,1,5.798690236006924
NorthLower,2,147,2023,780.3716151517046,6.659770235908724,1,7.105090687906048
NorthLower,2,147,2024,881.4523587809563,6.78157095475172,1,6.659770235908724
NorthLower,2,147,2025,637.743308678728,6.457935864891187,1,6.78157095475172
NorthLower,2,148,2023,565.4866776461628,6.33768673673961,1,6.33768673673961
NorthLower,2,148,2024,706.3085683433252,6.56005220764998,1,6.33768673673961
NorthLower,2,148,2025,767.7267047210056,6.64343381658903,1,6.56005220764998
NorthLower,2,149,2023,56.548667764616276,4.0351016437455645,1,4.152884679401948
NorthLower,2,149,2024,81.68140899333463,4.4028264238708825,1,4.0351016437455645
NorthLower,2,149,2025,75.39822368615503,4.322783716197346,1,4.4028264238708825
NorthLower,1,15,2023,142.94246573833559,4.962442211806305,1,4.5206094595272655
NorthLower,1,15,2024,339.29200658769764,5.82686111297362,1,4.962442211806305
NorthLower,1,15,2025,392.69908169872417,5.9730436231517015,1,5.82686111297362
NorthLower,1,16,2023,251.32741228718345,5.526756520523282,1,4.641237447315881
NorthLower,1,16,2024,343.2189974046849,5.8383687198251,1,5.526756520523282
NorthLower,1,16,2025,379.3473129209675,5.938452178382082,1,5.8383687198251
NorthLower,1,17,2023,98.96016858807849,4.594717431680988,1,4.235772339207716
NorthLower,1,17,2024,214.4136986075034,5.367907319914469,1,4.594717431680988
NorthLower,1,17,2025,0,NA,0,5.367907319914469
NorthLower,1,18,2023,241.90263432641405,5.488535307703084,1,5.2878646122409325
NorthLower,1,18,2024,280.3871443328891,5.636171306509149,1,5.488535307703084
NorthLower,1,18,2025,240.33183799961918,5.482020626681891,1,5.636171306509149
NorthLower,1,19,2023,94.24777960769379,4.545927267511556,1,4.363605710717601
NorthLower,1,19,2024,125.66370614359172,4.833609339963337,1,4.545927267511556
NorthLower,1,19,2025,0,NA,0,4.833609339963337
NorthLower,1,2,2023,131.94689145077132,4.882399504132769,1,4.458915890521926
NorthLower,1,2,2024,282.7433388230814,5.644539556179665,1,4.882399504132769
